id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344795461417398272,1344795461417398272,2021-01-01 07:59:57 HKT,2021-01-01,07:59:57,+0800,906819708044943360,reesefamcentral,Becky Reese,"{'type': 'Point', 'coordinates': [29.7602, -95.3694]}","Just posted a photo @ Houston, Texas  https://t.co/SGY1u3V12u",en,[],['https://www.instagram.com/p/CJe0CL3Aqs-/?igshid=skmfyd7ur4zv'],[],0,0,0,[],[],https://twitter.com/Reesefamcentral/status/1344795461417398272,False,,0,,,,,,,,[],,,,
1344795424754978821,1344662536738766849,2021-01-01 07:59:49 HKT,2021-01-01,07:59:49,+0800,1242474771738234880,muricasarcasmo,Sarcasmo Murica,,"@GeoRebekah @strychninelove @HealthyFla you're right. The same is true of Texas, where no one has a clue when or if a vaccine will be available to them, where to get it or who stands in line first after medical personnel.  Rebekah, you need to be working for the Biden admin in a similar capacity.",en,[],[],[],0,0,2,[],[],https://twitter.com/MuricaSarcasmo/status/1344795424754978821,False,,0,,,,,,,,"[{'screen_name': 'GeoRebekah', 'name': 'Rebekah Jones #Vaccinated', 'id': '2579571584'}, {'screen_name': 'strychninelove', 'name': 'KC Says Fuck A Lot', 'id': '728894325363515392'}, {'screen_name': 'HealthyFla', 'name': 'Florida Dept. Health', 'id': '296814488'}]",,,,
1344795424012591104,1344404447980630018,2021-01-01 07:59:48 HKT,2021-01-01,07:59:48,+0800,269057912,kobekanye24,Kelsey,,@GftdGoddesses East Texas,en,[],[],[],0,0,0,[],[],https://twitter.com/KobeKanye24/status/1344795424012591104,False,,0,,,,,,,,"[{'screen_name': 'GftdGoddesses', 'name': 'Gifted Goddesses Network', 'id': '1350502291783213062'}]",,,,
1344795419818270720,1344795419818270720,2021-01-01 07:59:47 HKT,2021-01-01,07:59:47,+0800,1146136235775287296,henryrh59256727,Hen,,"During your administration, Texas will have adopted or defended laws that are anti-Mexican, anti-Hispanic, anti-black and oh-so-slyly anti-LGBT.",en,[],[],[],0,0,0,[],[],https://twitter.com/HenryRh59256727/status/1344795419818270720,False,,0,,,,,,,,[],,,,
1344795406807527425,1344795406807527425,2021-01-01 07:59:44 HKT,2021-01-01,07:59:44,+0800,898533348,libsinamerica,LiA,,Pence Seeks to Dismiss GOP Lawsuit Aiming to Let Him Overturn Election  Justice Department called Texas Rep. Louie Gohmert’s suit a ‘walking legal contradiction’   https://t.co/Alqqk7x3Cx,en,[],['https://www.wsj.com/articles/pence-seeks-to-dismiss-gop-lawsuit-aiming-to-lethim-overturn-election-11609458671'],[],1,11,22,[],[],https://twitter.com/LibsInAmerica/status/1344795406807527425,False,,0,,,,,,,,[],,,,
1344795392932777985,1344783001775968256,2021-01-01 07:59:41 HKT,2021-01-01,07:59:41,+0800,1034297030770937856,checop_90,Checop,,@Armapedia Así celebran el año nuevo en Texas?? 😳,es,[],[],[],0,0,0,[],[],https://twitter.com/Checop_90/status/1344795392932777985,False,,0,,,,,,,,"[{'screen_name': 'Armapedia', 'name': 'Tio Armapedia', 'id': '2783305234'}]",,,,
1344795392886644736,1344795392886644736,2021-01-01 07:59:41 HKT,2021-01-01,07:59:41,+0800,2924877603,theartofbeers1,TheArtofBeers,,"Just posted a photo @ Abilene, Texas  https://t.co/5fs6vwncgM",en,[],['https://www.instagram.com/p/CJe0AExn57u/?igshid=g2qonjj9y4z2'],[],0,0,0,[],[],https://twitter.com/theartofbeers1/status/1344795392886644736,False,,0,,,,,,,,[],,,,
1344795391045222401,1344795391045222401,2021-01-01 07:59:40 HKT,2021-01-01,07:59:40,+0800,1226037053608976384,thomasmcavaness,Thomas M. Cavaness,,"2020: 🐄 Texas 🏞️ Colorado 🐄 Back to Texas 📋 Managed my first (Congressional) campaign 🎨 Sold six paintings  ⚱️ Sold 200+ antiques online 👬 Two boyfriends  💙 Most importantly, I made dozens of new relationships, and strengthened existing ones.",en,[],[],[],1,0,13,[],[],https://twitter.com/thomasmcavaness/status/1344795391045222401,False,,0,,,,,,,,[],,,,
1344795390588178434,1344795390588178434,2021-01-01 07:59:40 HKT,2021-01-01,07:59:40,+0800,1204199234783850497,air1777,AIR,,Someone smarter than me knows more than what's bring let on. #privatbank #MoneyLaundering #optima #ukraine #florida #ohio #texas   https://t.co/KWH2cYRJIq,en,[],['https://www.justice.gov/opa/pr/justice-department-seeks-forfeiture-third-commercial-property-purchased-funds-misappropriated'],[],0,0,0,"['privatbank', 'moneylaundering', 'optima', 'ukraine', 'florida', 'ohio', 'texas']",[],https://twitter.com/Air1777/status/1344795390588178434,False,,0,,,,,,,,[],,,,
1344795376717479936,1344795376717479936,2021-01-01 07:59:37 HKT,2021-01-01,07:59:37,+0800,451777737,zoekissane17,RoseTyler,,"Zelene Blancas, El Paso, Texas, teacher whose video of students hugging became a national sensation dies from Covid-19 - CNN  https://t.co/AOFjGwzg5q",en,[],['https://www.cnn.com/2020/12/31/us/el-paso-teacher-kindness-covid-19-trnd/index.html'],[],0,0,2,[],[],https://twitter.com/ZoeKissane17/status/1344795376717479936,False,,0,,,,,,,,[],,,,
1344795348527706113,1344795348527706113,2021-01-01 07:59:30 HKT,2021-01-01,07:59:30,+0800,1196398337492213768,nealb4250,neal,,She competition ready @ Heart of Texas Cheer &amp; Dance  https://t.co/I8g8L53pPQ,en,[],['https://www.instagram.com/p/CJez-5lnEMJ/?igshid=1hvs7oln3e7zd'],[],0,0,0,[],[],https://twitter.com/Nealb4250/status/1344795348527706113,False,,0,,,,,,,,[],,,,
1344795347386773507,1344794160084168704,2021-01-01 07:59:30 HKT,2021-01-01,07:59:30,+0800,778229339557076992,sixandlaura,Laura Henderson,,"11/27/2019 , 11/26/2019 , 2/27/2020  #EVALI #Timeline #Texas #vape #cluster #outbreak  https://t.co/M2ArVSYwoF",und,[],[],"['https://pbs.twimg.com/media/EqmsPXTW8AYJaxC.jpg', 'https://pbs.twimg.com/media/EqmsPXTXMAAv8E5.jpg', 'https://pbs.twimg.com/media/EqmsPXUXUAAXN6h.jpg']",0,1,2,"['evali', 'timeline', 'texas', 'vape', 'cluster', 'outbreak']",[],https://twitter.com/SixandLaura/status/1344795347386773507,False,,1,https://pbs.twimg.com/media/EqmsPXTW8AYJaxC.jpg,,,,,,,[],,,,
1344795347034509313,1344666527971340289,2021-01-01 07:59:30 HKT,2021-01-01,07:59:30,+0800,1264724772522508288,helmeanne,AnneH60,,@LenniBug He's owed millions of dollars by the Lt Gov of Texas.,en,[],[],[],0,0,0,[],[],https://twitter.com/HelmeAnne/status/1344795347034509313,False,,0,,,,,,,,"[{'screen_name': 'LenniBug', 'name': 'Leonard Bonarek 🚎🚲🚎', 'id': '1091158501739675648'}]",,,,
1344795319096246273,1344780190786924546,2021-01-01 07:59:23 HKT,2021-01-01,07:59:23,+0800,1268316540,only1tommadden,Tom Madden,,@QuitaC_KVUE @KVUE Grandkids made it to the deer lease outside of Bronte Texas😽  https://t.co/IHI2MpPqXp,en,[],[],['https://pbs.twimg.com/media/EqmsNV-XYAE1b0R.jpg'],0,0,5,[],[],https://twitter.com/only1tommadden/status/1344795319096246273,False,,1,https://pbs.twimg.com/media/EqmsNV-XYAE1b0R.jpg,,,,,,,"[{'screen_name': 'QuitaC_KVUE', 'name': 'Quita Culpepper', 'id': '222605258'}, {'screen_name': 'KVUE', 'name': 'KVUE News', 'id': '15232635'}]",,,,
1344795313920479232,1344795313920479232,2021-01-01 07:59:22 HKT,2021-01-01,07:59:22,+0800,1027378033001463810,layoffsn,LayoffsNews,,TEXAS: 248 workers to be laid off at New Braunfels call center  https://t.co/3JdRQ6bb7R,en,[],['https://www.expressnews.com/business/article/248-workers-to-be-laid-off-at-New-Braunfels-call-15839219.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&utm_source=t.co&utm_medium=referral'],[],0,0,4,[],[],https://twitter.com/LayoffsN/status/1344795313920479232,False,,0,,,,,,,,[],,,,
1344795309399044096,1344795309399044096,2021-01-01 07:59:21 HKT,2021-01-01,07:59:21,+0800,2159592710,carleychristin3,Carley Christine C,,Still waiting for @pollotropical  to come back to texas. Specifically Dallas area.  https://t.co/YovRnXiyTE,en,"[{'screen_name': 'pollotropical', 'name': 'pollotropical', 'id': '35841181'}]",[],['https://pbs.twimg.com/tweet_video_thumb/EqmsNEAXAAExHBI.jpg'],0,0,0,[],[],https://twitter.com/CarleyChristin3/status/1344795309399044096,False,,1,https://pbs.twimg.com/tweet_video_thumb/EqmsNEAXAAExHBI.jpg,,,,,,,[],,,,
